Date,AZN,^GSPC
2025-12-10,181.13165283203125,6886.68017578125
2025-12-11,178.71682739257812,6901.0
2025-12-12,177.8063201904297,6827.41015625
2025-12-15,181.23060607910156,6816.509765625
2025-12-16,180.81494140625,6800.259765625
2025-12-17,177.86569213867188,6721.43017578125
2025-12-18,179.3502197265625,6774.759765625
2025-12-19,180.83474731445312,6834.5
2025-12-22,181.21083068847656,6878.490234375
2025-12-23,182.37864685058594,6909.7900390625
2025-12-24,182.99224853515625,6932.0498046875
2025-12-26,183.88296508789062,6929.93994140625
2025-12-29,183.13079833984375,6905.740234375
2025-12-30,183.11102294921875,6896.240234375
2025-12-31,181.96298217773438,6845.5
2026-01-02,181.2504119873047,6858.47021484375
2026-01-05,180.55763244628906,6902.0498046875
2026-01-06,187.96044921875,6944.81982421875
2026-01-07,188.35633850097656,6920.93017578125
2026-01-08,186.08006286621094,6921.4599609375
2026-01-09,187.3468475341797,6966.27978515625
2026-01-12,185.32789611816406,6977.27001953125
2026-01-13,187.0697479248047,6963.740234375
2026-01-14,190.6919708251953,6926.60009765625
2026-01-15,186.04046630859375,6944.47021484375
2026-01-16,186.83221435546875,6940.009765625
2026-01-20,178.0240478515625,6796.85986328125
2026-01-21,179.211669921875,6875.6201171875
2026-01-22,181.48793029785156,6913.35009765625
2026-01-23,183.98191833496094,6915.60986328125
2026-01-26,186.51551818847656,6950.22998046875
2026-01-27,189.2272491455078,6978.60009765625
2026-01-28,184.516357421875,6978.02978515625
2026-01-29,183.26934814453125,6969.009765625
2026-01-30,183.62564086914062,6939.02978515625
2026-02-02,186.46603393554688,6976.43994140625
2026-02-03,182.41824340820312,6917.81005859375
2026-02-04,185.51593017578125,6882.72021484375
2026-02-05,185.2289276123047,6798.39990234375
2026-02-06,191.03836059570312,6932.2998046875
2026-02-09,186.07015991210938,6964.81982421875
2026-02-10,191.404541015625,6941.81005859375
2026-02-11,202.6473388671875,6941.47021484375
2026-02-12,202.40982055664062,6832.759765625
2026-02-13,203.42918395996094,6836.169921875
2026-02-17,207.31863403320312,6843.22021484375
2026-02-18,206.51699829101562,6881.31005859375
2026-02-19,208.6199951171875,6861.89013671875
2026-02-20,204.1999969482422,6909.509765625
2026-02-23,204.94000244140625,6837.75
2026-02-24,206.61000061035156,6890.06982421875
2026-02-25,205.7899932861328,6946.1298828125
2026-02-26,203.97999572753906,6908.85986328125
2026-02-27,208.4499969482422,6878.8798828125
2026-03-02,203.72999572753906,6881.6201171875
2026-03-03,201.75999450683594,6816.6298828125
2026-03-04,201.52999877929688,6869.5
2026-03-05,197.52000427246094,6830.7099609375
2026-03-06,194.22000122070312,6740.02001953125
2026-03-09,194.9499969482422,6795.990234375
2026-03-10,194.99000549316406,6781.47998046875
2026-03-11,193.30999755859375,6775.7998046875
2026-03-12,192.5,6672.6201171875
2026-03-13,189.89999389648438,6632.18994140625
2026-03-16,192.00999450683594,6699.3798828125
2026-03-17,191.2899932861328,6716.08984375
2026-03-18,188.4199981689453,6624.7001953125
2026-03-19,188.92999267578125,6606.490234375
2026-03-20,183.60000610351562,6506.47998046875
2026-03-23,184.07000732421875,6581.0
2026-03-24,185.77999877929688,6556.3701171875
2026-03-25,187.13999938964844,6591.89990234375
2026-03-26,183.39999389648438,6477.16015625
2026-03-27,188.4199981689453,6368.85009765625
2026-03-30,193.8800048828125,6343.72021484375
2026-03-31,197.22000122070312,6528.52001953125
2026-04-01,200.72999572753906,6575.31982421875
2026-04-02,203.49000549316406,6582.68994140625
2026-04-06,202.8300018310547,6611.830078125
2026-04-07,200.80999755859375,6616.85009765625
2026-04-08,204.27000427246094,6782.81005859375
2026-04-09,204.99000549316406,6824.66015625
2026-04-10,204.02999877929688,6816.89013671875
2026-04-13,202.24000549316406,6886.240234375
2026-04-14,204.3800048828125,6967.3798828125
2026-04-15,201.2100067138672,7022.9501953125
2026-04-16,200.47000122070312,7041.27978515625
2026-04-17,204.8000030517578,7126.06005859375
2026-04-20,200.69000244140625,7109.14013671875
2026-04-21,195.77999877929688,7064.009765625
2026-04-22,194.80999755859375,7137.89990234375
2026-04-23,192.3000030517578,7108.39990234375
2026-04-24,189.75,7165.080078125
2026-04-27,187.50999450683594,7173.91015625
2026-04-28,186.67999267578125,7138.7998046875
2026-04-29,185.1999969482422,7135.9501953125
2026-04-30,187.3699951171875,7209.009765625
2026-05-01,184.74000549316406,7230.1201171875
2026-05-04,183.4600067138672,7200.75
2026-05-05,181.24000549316406,7259.22021484375
2026-05-06,184.9199981689453,7365.1201171875
2026-05-07,182.52000427246094,7337.10986328125
2026-05-08,182.85000610351562,7398.93017578125
2026-05-11,181.86000061035156,7412.83984375
2026-05-12,184.5399932861328,7400.9599609375
2026-05-13,187.72000122070312,7444.25
2026-05-14,184.9600067138672,7501.240234375
2026-05-15,181.5800018310547,7408.5
2026-05-18,183.9199981689453,7403.0498046875
2026-05-19,184.63999938964844,7353.60986328125
2026-05-20,187.4600067138672,7432.97021484375
2026-05-21,189.75,7445.72021484375
2026-05-22,187.02999877929688,7473.47021484375
2026-05-26,187.19000244140625,7519.1201171875
2026-05-27,185.64999389648438,7520.35986328125
2026-05-28,185.3300018310547,7563.6298828125
2026-05-29,185.6699981689453,7580.06005859375
2026-06-01,179.7100067138672,7599.9599609375
2026-06-02,177.4499969482422,7609.77978515625
2026-06-03,176.27999877929688,7553.68017578125
2026-06-04,181.8000030517578,7584.31005859375
2026-06-05,185.9499969482422,7383.740234375
2026-06-08,181.5500030517578,7405.72998046875
2026-06-09,183.42999267578125,7386.64990234375
2026-06-10,178.9600067138672,7266.990234375
2026-06-11,182.27999877929688,7394.2998046875
2026-06-12,178.75,7431.4599609375
2026-06-15,177.27000427246094,7554.2900390625
